Ticker,Company Name,Sector,Category,Status,Sentiment,Price When Added,Date Added,TradingView
URAN,Themes Uranium ETF,Energy,Nuclear,Watching,Neutral,51.02,2026-01-24,https://www.tradingview.com/symbols/URAN/
AES,AES Corporation,Energy,,Watching,Neutral,14.25,2026-01-24,https://www.tradingview.com/symbols/AES/
EOSE,Eos Energy,Energy,Speculative,Watching,Neutral,17.11,2026-01-24,https://www.tradingview.com/symbols/EOSE/
CF,CF Industries,Energy,,Watching,Neutral,92.38,2026-01-24,https://www.tradingview.com/symbols/CF/
TE,T1 Energy,Energy,Speculative,Watching,Neutral,8.50,2026-01-24,https://www.tradingview.com/symbols/TE/
COIN,Coinbase Global,Crypto,Large Cap,Watching,Neutral,216.95,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-COIN/
MSTR,MicroStrategy,Crypto,,Watching,Neutral,163.11,2026-01-24,https://www.tradingview.com/symbols/MSTR/
CIFR,Cipher Mining,Crypto,"Small Cap, Speculative",Watching,Neutral,17.57,2026-01-24,https://www.tradingview.com/symbols/CIFR/
BMNR,Bitmine Immersion,Crypto,"Small Cap, Speculative",Watching,Neutral,28.80,2026-01-24,https://www.tradingview.com/symbols/BMNR/
IREN,IREN Limited,Crypto,Small Cap,Watching,Neutral,56.68,2026-01-24,https://www.tradingview.com/symbols/IREN/
IBIT,iShares Bitcoin Trust,Crypto,,Watching,Neutral,50.70,2026-01-24,https://www.tradingview.com/symbols/IBIT/
FETH,Fidelity Ethereum,Crypto,,Watching,Neutral,29.28,2026-01-24,https://www.tradingview.com/symbols/FETH/
ETHA,iShares Ethereum Trust,Crypto,,Watching,Neutral,22.20,2026-01-24,https://www.tradingview.com/symbols/ETHA/
BTC-USD,Bitcoin USD,Crypto,,Watching,Neutral,89552.88,2026-01-24,https://www.tradingview.com/symbols/BTCUSD/
ETH-USD,Ethereum USD,Crypto,,Watching,Neutral,2955.27,2026-01-24,https://www.tradingview.com/symbols/ETHUSD/
LINK-USD,Chainlink USD,Crypto,,Watching,Neutral,12.21,2026-01-24,https://www.tradingview.com/symbols/LINKUSD/
KRKNF,Kraken Robotics,Tech,"Robotics, Small Cap",Watching,Neutral,6.07,2026-01-24,https://www.tradingview.com/symbols/KRKNF/
SSYS,Stratasys,Tech,Robotics,Watching,Neutral,11.06,2026-01-24,https://www.tradingview.com/symbols/SSYS/
OUST,Ouster,Tech,"Robotics, Small Cap",Watching,Neutral,24.84,2026-01-24,https://www.tradingview.com/symbols/OUST/
LASR,nLIGHT Inc.,Tech,Small Cap,Watching,Neutral,43.93,2026-01-24,https://www.tradingview.com/symbols/LASR/
LPTH,LightPath Technologies,Tech,Small Cap,Watching,Neutral,12.44,2026-01-24,https://www.tradingview.com/symbols/LPTH/
OSS,One Stop Systems,Tech,Small Cap,Watching,Neutral,10.60,2026-01-24,https://www.tradingview.com/symbols/OSS/
ONDS,Ondas Inc.,Tech,Small Cap,Watching,Neutral,12.17,2026-01-24,https://www.tradingview.com/symbols/ONDS/
PLTR,Palantir Technologies,Tech,AI,Watching,Neutral,169.60,2026-01-24,https://www.tradingview.com/symbols/NASDAQ-PLTR/
PRME,Prime Medicine,Healthcare,Speculative,Watching,Neutral,4.43,2026-01-24,https://www.tradingview.com/symbols/PRME/
JEPI,JPMorgan Equity Premium Income,ETF,Dividend,Watching,Neutral,58.38,2026-01-24,https://www.tradingview.com/symbols/JEPI/
JEPQ,JPMorgan Nasdaq Equity Premium,ETF,Dividend,Watching,Neutral,59.22,2026-01-24,https://www.tradingview.com/symbols/JEPQ/
SCHD,Schwab U.S. Dividend ETF,ETF,Dividend,Watching,Neutral,29.14,2026-01-24,https://www.tradingview.com/symbols/SCHD/
RIME,Algorhythm Holdings,Tech,"Small Cap, Speculative",Watching,Neutral,0.98,2026-01-24,https://www.tradingview.com/symbols/RIME/
SBET,SharpLink Gaming,Tech,"Small Cap, Speculative",Watching,Neutral,9.75,2026-01-24,https://www.tradingview.com/symbols/SBET/
UAMY,United States Antimony,Energy,"Small Cap, Speculative",Watching,Neutral,10.85,2026-01-24,https://www.tradingview.com/symbols/UAMY/
VOYG,Voyager Technologies,Space,"Small Cap, Speculative",Watching,Neutral,37.09,2026-01-24,https://www.tradingview.com/symbols/VOYG/
KDEF,PLUS Korea Defense,Defense,"Small Cap, Speculative",Watching,Neutral,56.58,2026-01-24,https://www.tradingview.com/symbols/KDEF/
